Title,Published_date,Views,Likes,Comments,CategoryId,VideoId,Channel
SAMSUNG GALAXY S10 vs INDUSTRIAL SHREDDER,2019-12-03,2178714,36501,884,24,LLT2nC2lVfM,Beast Reacts
Ultimate Coca Cola vs Mentos Experiment!,2019-11-30,4459279,81387,2337,24,XZkE5hdYZYA,Beast Reacts
Industrial Shredder VS Watermelon!,2019-11-26,2488113,26049,772,24,LyjItXepTvk,Beast Reacts
2,805 DEGREE LAVA VS Watermelon!,2019-11-22,2141938,35254,1113,24,Juiwz8LosT4,Beast Reacts
1,000 Degree Ball VS iPhone 11,2019-11-18,3286480,101560,1944,24,hI8Ep9Eze0I,Beast Reacts
Ultimate Hydraulic Squishy Ball,2019-11-12,6510593,92870,2383,24,baEwkL2zqpI,Beast Reacts
Incredible Fire Proof Lock!,2019-11-07,1493381,27439,600,24,5uhgbFn75as,Beast Reacts
LAVA vs MACBOOK PRO!,2019-11-04,11427747,205583,5688,24,uaHWNftRRCo,Beast Reacts
Crazy Super Hero Matchstick Creations,2019-11-01,8097387,119454,1830,24,qkDkc2VQKZY,Beast Reacts
1000 Degree Cleaver vs BOOM POWDER!,2019-10-16,15727181,247653,5182,24,ebTtEGY-Zq8,Beast Reacts
Incredible Watermelon Experiments,2019-10-09,1712068,30154,741,24,P1JmVdqWh44,Beast Reacts
1,000 Degree Ball vs Sponge!,2019-10-08,20902328,262969,5025,24,-aGyKfXFaSA,Beast Reacts
Dropping an iPhone 11 Pro Down a Hole,2019-10-02,4928585,98723,1680,24,KfS8hfUAP8A,Beast Reacts
LIQUID NITROGEN VS LOCK!,2019-09-30,2903873,63660,1629,24,mHKMZFL5bH4,Beast Reacts
Super Creative Matchstick Sculptures,2019-09-29,1939166,49911,1319,24,-oS-zqDAJM4,Beast Reacts
INSANE IPHONE 11 PRO DROP TEST,2019-09-27,1734014,41757,773,24,b8HrNRYMZBI,Beast Reacts
GIGANTIC DIY FIREWORK,2019-09-23,1924298,34055,808,24,Zfyk3rHRIwY,Beast Reacts
GIANT MATCH ROCKET!,2019-09-19,6118973,88137,2323,24,QJUkwZiPWc4,Beast Reacts
WORLD'S LARGEST FIRECRACKER!,2019-09-17,1183122,20523,570,24,JMIsODTA720,Beast Reacts
MENTOS VS COCA COLA UNDERWATER,2019-09-15,2645865,33735,1418,24,886f8AAm8A4,Beast Reacts
BEST HOMEMADE  EXPERIMENTS,2019-09-13,3604159,41598,1740,24,YVNbgsnfTwM,Beast Reacts
INCREDIBLE MATCHSTICK CRAFTS,2019-09-11,5666073,72082,1138,24,RlQnBSXel7g,Beast Reacts
INSANELY SATISFYING JELLO PEPSI,2019-09-09,8520217,141271,4841,24,7RhrmeT2wE4,Beast Reacts
ULTIMATE MATCHSTICK INVENTIONS,2019-09-07,3996078,55224,2231,24,9QCeyfUAOI4,Beast Reacts
INSANELY SATISFYING MAGNETIC LIQUID,2019-09-05,22464132,407450,6717,24,cDckEcFIfjE,Beast Reacts
DIY COLOR PENCIL SKATEBOARD,2019-09-03,9458345,119365,5899,24,aHIDAKF8_lE,Beast Reacts
BEST HOMEMADE MATCHES CRAFTS,2019-09-01,8603543,165545,3277,24,S-smZjhefcE,Beast Reacts
AMAZING WATERMELON EXPERIMENTS,2019-08-30,15209468,258618,12122,24,92Pv568h_i8,Beast Reacts
TESTING GIANT FIRECRACKERS!,2019-08-27,3146476,71604,1665,24,BfS1smjkGvA,Beast Reacts
AMAZING FIRE EXPERIMENTS,2019-08-25,2203658,46331,1275,24,mEXkhurB3PQ,Beast Reacts
INSANE MATCHES ROCKET!,2019-08-23,7504947,132086,4087,24,AVnKEeGA060,Beast Reacts
BEST SATISFYING SCIENCE EXPERIEMENTS,2019-08-21,3931969,58016,1143,24,w7r-3obehrU,Beast Reacts
DIY MINI HELICOPTER!,2019-08-15,1791732,23537,1280,24,yzeM85G-0Fg,Beast Reacts
DIY COCA COLA CRAFTS!,2019-08-13,4741395,66463,1625,24,VyKkWaDwWOY,Beast Reacts
How To See Magnetic Fields,2019-08-08,2797947,62449,1695,24,_U77KHFz9dw,Beast Reacts
INCREDIBLE LAVA EXPERIMENTS,2019-08-06,2451696,29433,1242,24,MEnan5ZNOmk,Beast Reacts
INSANE MATCH STICK INVENTIONS,2019-08-03,4567561,79450,1996,24,syWfZDotPe0,Beast Reacts
TESTING FIREWORKS UNDER ICE!,2019-08-01,4546605,109958,2991,24,Sbq0jyWq_Kw,Beast Reacts
1000 DEGREE WEIGHT VS POOL,2019-07-30,6427896,204900,4181,24,6NzQwvn6BM0,Beast Reacts
STRETCH ARMSTRONG LAVA EXPERIMENTS,2019-07-28,3896654,75361,2483,24,G54-7cJQ35M,Beast Reacts
MAKING POPCORN WITH A MOTORCYCLE EXHAUST,2019-07-26,2334561,47063,1237,24,7mUW659Qr78,Beast Reacts
THEY MADE A COCA COLA TIRE!,2019-07-24,3963102,91788,2266,24,8AmvHzUO1NE,Beast Reacts
EPIC WATERMELON LIFE HACKS!,2019-07-21,5183353,155275,2191,24,sJ40pJMfCrM,Beast Reacts
INSANE EGG EXPERIMENTS,2019-07-19,5306588,102888,2951,24,ub7Kig19Gxs,Beast Reacts
REAL LAVA vs WATERMELON - EXPERIMENT,2019-07-17,2206806,61202,1415,24,FrHlCifAsC4,Beast Reacts
POURING COCA COLA IN A MOTORCYCLE EXHAUST,2019-07-14,3671778,58016,1542,24,1zn92UVxMwY,Beast Reacts
Mr.Beast Live Stream,2019-07-11,0,61,0,24,9idw7CDNdKk,Beast Reacts
CRAZY Watermelon Coca Cola Tricks!,2019-07-10,2322019,33217,1230,24,LXj4-QsoMr4,Beast Reacts
SUPER RICH GUY SHREDDING MONEY,2019-07-07,1711620,42343,2061,24,-e50GdGhaJY,Beast Reacts
INSANE COCA COLA TRICK,2019-07-05,4205787,52789,5336,24,yeQxRn8jJnc,Beast Reacts
INSANE Stretch Armstrong Experiments!,2019-07-03,14822792,268952,13223,24,KN4kEpL4Dz8,Beast Reacts
LAVA vs Industrial Equipment,2019-06-30,3241209,85367,3317,24,qVL1F1eFhW0,Beast Reacts
CRAZY Unexpected Nutella Life Hacks!,2019-06-26,4773348,110161,2643,24,BG9Imv5LtPg,Beast Reacts
INSANE 500,000 MATCHES CANNON!,2019-06-22,1687765,33007,1377,24,XgypGXAkDOk,Beast Reacts
BOWLING BALL VS INDUSTRIAL SHREDDER,2019-06-20,4175254,63380,2066,24,Are4A7VaZ28,Beast Reacts
